sno,cleaned_tweet,is_hate_speech,image_path
0,rt kattwilliams milf sexy ass mom youre youre bitch baby,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\0.png
1,dingyyybritt look said lls new era girl bye kill bitches w kindness ampamp wht cousin,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\1.png
2,rt tokyojetz nigga said bitch told sent nigga ta jail man thought legal ta beat yo hoethats yo hoe lmao,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\2.png
3,joebiden retard irritatedwoman biden calls white boy meeting black pastors httptcobqxievwd,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\3.png
4,woohdakidd lol la bitch happy bout beatin bench players,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\4.png
5,hate girls say im single heart taken bitch nigga dont love hoe move,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\5.png
6,huhoes lmao lexy hoe lmfaooo,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\6.png
7,want slope job get away everything two weeks hate around people unless friends,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\7.png
8,isnt murica charlie brown rejectedpeanutsspecials,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\8.png
9,former towie star charlie king comes httptcoyuxkxbcyt youtube inspiring congrats charlieking welcome family,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\9.png
10,sneaky hoes httptcoypqpmdpfgg,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\10.png
11,trust set alpha good maybe better setting visibility false fly silver bird,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\11.png
12,impactparasite fuckin roasted faggot,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\12.png
13,rt swayhasanswers twerking ghetto white people hip hop culture violent amp dangerous want profit ht,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\13.png
14,rt nerdkiller shinsnipes u steal glasses haha stupid nigger,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\14.png
15,grizzboadams wyattnuckels haha ight nig calm yoself,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\15.png
16,real unreal lol yankees worldseries andcounting mlb mlbtheshow httptcotdmrbsnp,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\16.png
17,naramy nah shit gets heated smartest mouth know im get called retard im done playing games,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\17.png
18,fucked bitch met,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\18.png
19,know stay fuck bitch shit street nigga thats gonna get,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\19.png
20,olevertybstard yankee noodle fucking awesome ya bastard,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\20.png
21,know im niggah saw,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\21.png
22,drethinks lol lil bitch,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\22.png
23,rt simplyalize xonayyy ugglyyy well aint bout bitch httptcocvjadmypg bruh,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\23.png
24,gotta funny witty charming bitches come naturally aint even gotta shit,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\24.png
25,people time aryan race stand say mongerls turn world ghetto slum,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\25.png
26,xcorey uh youre trash,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\26.png
27,lemochamojito bitch,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\27.png
28,wonder bitch dead yet,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\28.png
29,rt dezdlt play soccer cheat girls wear khaki coloured cargos haircut httptcoasdhbyxt,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\29.png
30,niggas aint shit hoes tricks,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\30.png
31,damn nothing tweetnothing complain bitch lol,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\31.png
32,notoriousbm gezus rodriguez getting blocked faggot,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\32.png
33,rt whyvee georgegalloway muslim wmn covers yellow star jewish neighbour veil protect sarajevo httptc,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\33.png
34,herfarm move country teabaggers,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\34.png
35,rt davidmarchese johnny cash turned gambler guess could say didnt know ho never mind httptcogmk,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\35.png
36,rt tarynupsheets single life hitting zero like dont even want hoes,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\36.png
37,yungmigo bigmoneyniquee nicca fucc yu,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\37.png
38,cant fuc wit bitch thats addicted drugz,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\38.png
39,rt sidneeyrosee fuckin skyler white bitch,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\39.png
40,iknow couple mf favorite line wouldnt thats young bitch stopp young minded,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\40.png
41,femshaveballz unfortunate clothing choice hoes crooked belly ring completes dumb trash motif perfectly,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\41.png
42,nah watch hoes thats jus gettin fucked start tweetin bout make love,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\42.png
43,rt arizzleindacut females think dating pussy cute httptcojbjaadxk,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\43.png
44,im type guy bitch hot im still sweating,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\44.png
45,holy fuck bomb ass bitches bucees,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\45.png
46,imjessicaaaaa ok hoe,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\46.png
47,stupid hoe,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\47.png
48,rt whitepeopletalk kobe shoot piece paper trash,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\48.png
49,rt berrydabody unexplainable booty fucking ass bitches live funny,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\49.png
50,rt ozvan dont frontin ass bitch,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\50.png
51,rt nerdatcooltable rt realsheembacc every bad bitch nigga treats like shit amp yet stay wanna,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\51.png
52,ive got everybody skurting hoes,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\52.png
53,everyone says letsmakeitawkward queer justmadeitawkward,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\53.png
54,shootas grandmama house aint around bitch ina minute,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\54.png
55,damnfucknee wana eat food drink liq go party bad bitch waitin nigga return,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\55.png
56,zfearless shut bitch looks smooth like booty,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\56.png
57,swear girls good pussy think thats answer everything,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\57.png
58,iont neva chase hoes move slow let em chase,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\58.png
59,pick city buy condo find fine hoe let time go chea,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\59.png
60,ccobey aydanmccoy happy birthday nigs thanks yo,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\60.png
61,lmao still feel played bout hoe,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\61.png
62,bitch cant take joke itszprincessz iggyazalea,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\62.png
63,rt taxstone look bitch better shut aint arguing niggaz street social networks,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\63.png
64,rt thedillon yall gonna trash spirit airlines travel w time even let fly plane times dont mi,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\64.png
65,rt evanbecker whattheflocka omg youre nigger,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\65.png
66,id rather sit house day jack bust mission literally chill bitch httptcometmbg,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\66.png
67,rt ogmellow kevin gates said real niggas eat booty real niggas please bitches ion get tieddd,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\67.png
68,vivaalakatyy jfritzy lompartayy thats action youll probably get bitch,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\68.png
69,rt theafricansiren automatically suspicious white folk try hard show like us darkies,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\69.png
70,work bitch right,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\70.png
71,rt itsdavedude cant tell anything bitch im one click away google times,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\71.png
72,rt realistillest mine rt xo niggah triggatre,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\72.png
73,ryeordie niggas want pussy aint giving lies dilemma thats cool,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\73.png
74,rt ohmyev crazy female cheats wrong shes every type hoe guy cheats theres justific,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\74.png
75,jose soto reflections former gay teabagger httptcoxtmmuzyk,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\75.png
76,kelvinkayyy safe bruv welcum twitter niggur,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\76.png
77,cant wait rt strictlykeyz niggas wanna pop viagra pop young bitches,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\77.png
78,rt whorefandom im going let pussy like fight night votesos,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\78.png
79,afternoon groups trash besides bubba keegs furyk group thememorialtournament,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\79.png
80,rt queenalyzee aint friends hoe,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\80.png
81,trash episode walking dead tonight,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\81.png
82,marcuskings yeah hoe ass nigga,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\82.png
83,everything dont deserve reaction dont think something im jumpno bitch im focused money sad ass,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\83.png
84,fuck iheartyoukeish yall faggots next sbabylife,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\84.png
85,firefighter job white trash,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\85.png
86,worst thing bitch loyalshawn bitches main reason another nigga face get nigga jealous wack,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\86.png
87,boobs fake youre little bitch youre cute want punch,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\87.png
